UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
21 J;;;CENTRAL;Villa Elisa;;Acosta Ñú;FONAVIS;8;C CONSULTORES;Culminado;;;;;4;;;;;;;;;;;
;;;CENTRAL;Ñemby;Ñemby;San Miguel;FONAVIS;10;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
;;;CENTRAL;San Lorenzo;;Cooperativa Laurelty;FONAVIS;8;IPP INGENIERIA Y PROYECTOS PARAGUAY;Paralizado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;Luque;Villa San Francisco GHA;FONAVIS;17;MERCEDES GERALDINE GONZALEZ ALFONSO;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;;Hogar de Niños;FONAVIS;20;ARQ. DANIELA RECALDE RUIZ DIAZ;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Fernando de la Mora;;3 de Febrero;FONAVIS;9;C CONSULTORES;Culminado;;;;;4;;;;;;;;;;;
21 J;7193162;449394;CENTRAL;San Lorenzo;San Lorenzo;Los Gansos - Fenhamera;FONAVIS;10;ARQ. CARLOS CESAR RIVAS MUÑOZ;Paralizado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;San Antonio;Asentamiento Santa Librada II;FONAVIS;10;EMPRENDIMIENTOS INMOBILIARIOS;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;Ypane;María Auxiliadora;FONAVIS;20;ASOCIACION TEKOVERA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;Itá;Cooperativa Jhugua Ñaró;FONAVIS;20;ARQUIDEC S.R.L;Culminado;;;04/03/13;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;G.O.Com.Fom.Viv.y Hab. Curupicaity 1°Fase;FONAVIS;15;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;Caaguazú;FONAVIS;20;ARQUIDEC S.R.L;En Ejecución;;;15/04/13;;4;;;;;;;;;;;
21 J;;;CENTRAL;Villa Elisa;;Acosta Ñú 2° Fase;FONAVIS;5;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ñemby;Ñemby;San Miguel 2° Fase;FONAVIS;12;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;Andrea Flor;FONAVIS;24;ING. CESAR AUGUSTO RECALDE PRINCIGALLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ñemby;;Paz del Chaco;FONAVIS;12;CEDES / HABITAT;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;Maria Auxiliadora 2° Fase;FONAVIS;29;ASOCIACION TEKOVERA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;J. Augusto Saldivar;J.A.Saldivar;Sindicato Trabajadores del Mercado 4;FONAVIS;38;ARQ. LILIANA ROJAS VERA;En Ejecución;;;06/01/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Mariano Roque Alonso;;Expo Ciudad 2° Fase;FONAVIS;16;IPP INGENIERIA Y PROYECTOS PARAGUAY;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;8 de Octubre;FONAVIS;7;CEDES / HABITAT;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;Divino Niño Jesús - Mi casita;FONAVIS;32;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;G.O. Asent. Espiritu Santo;FONAVIS;30;ARQ. REBECA ZELAYA GONZALEZ;En Ejecución;;;17/03/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;Com. Vec. Sagrada Familia-Asent. La Victoria;FONAVIS;30;ARQ. REBECA ZELAYA GONZALEZ;En Ejecución;;;17/03/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;Porvenir II;FONAVIS;29;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Raul Arsenio Oviedo;Raul Arsenio Oviedo;G.O. Comunidad Mbya Guaraní - Santa Teresa;FONAVIS;44;CEDES / HABITAT;En Ejecución;;;26/12/13;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;Coop. Mult. Ahorr. Cred. Prod. Jhugua Ñaró 2° Fase;FONAVIS;5;ARQUIDEC S.R.L;En Ejecución;;;24/08/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;Com. Fom. Ur. Cia. Caaguazú 2 Fase;FONAVIS;5;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Coop.de Viv. Ayud.Mutua Mi Casita - T.P. 2F;FONAVIS;35;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;San Martín;FONAVIS;25;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Coop.de Viv. Ayud.Mutua Mi Casita - T.P. 1F;FONAVIS;35;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;Divino Niño Jesús - Mis casita 2° Fase;FONAVIS;32;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;Pojoaju;FONAVIS;10;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;Porvenir 2° Fase;FONAVIS;28;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Capiata;;Nueva Esperanza 1° Fase;FONAVIS;30;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21J;;;CENTRAL;Capiata;;Nueva Esperanza 2° Fase;FONAVIS;30;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Capiata;;Nueva Esperanza 3° Fase;FONAVIS;15;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;G.O.Com.Vec.Pro Vivienda Mercado Cué;FONAVIS;6;ABOG. LINA MERCEDES CORONEL LEGUIZAMON;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;La Merced;FONAVIS;18;ABOG. LINA MERCEDES CORONEL LEGUIZAMON;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Nueva Italia;;G.O.Coop.de Viv. Ayud.Mutua Mi Casita - S. Expedit;FONAVIS;20;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Com.Asent.El Bosque Restaurador 2 - 1° Fase;FONAVIS;25;ABOG. CRISTIAN CESAR TURRINI AYALA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Com.Asent.El Bosque Restaurador 2 - 2° Fase;FONAVIS;25;ABOG. CRISTIAN CESAR TURRINI AYALA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7179820;461900;CENTRAL;Ita;;Asentamiento 30 de Agosto;FOCEM;170;OMG S.A.;Culminado;;;;12/07/11;;;;;;;;;;;;
21 J;7190925;463268;CENTRAL;Itaugua;Itaguá;Mbocayaty del Sur;FOCEM;150;MM S.A.;Culminado;;;;14/12/11;;;;;;;;;;;;
21 J;;;CENTRAL;Itaugua;Itaugua;Coop. Ña pua hagua - Itaguá;FONCOOP;38;AREA;En Ejecución;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;Coop. Nuestra Señora de Luján;FONCOOP;40;COTAS;En Ejecución;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;Coop. Tava Rory II;FONCOOP;35;COTAS;En Ejecución;;;07/02/14;;;;;;;;;;;;;
21 J;;;CENTRAL;Ita;Itá;G.O.Com.Fom.Ur.Viv.y Hab.San Cayetano;FONAVIS;25;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;G.O.Com.Fom.Ur.Viv.y Hab.Barrio Paranambú;FONAVIS;15;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;Ypané;Com.Pro.Viv.San Pedro y San Pablo;FONAVIS;38;RUBEN DARIO RAMIREZ SOSA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;Coop.Mult.Ahorr.Cons.Viv. y Serv.Ñapua Hagua;FONAVIS;24;CONSULTORA  AREA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;G.O. Santo Domingo;FONAVIS;26;CESARINA BARRETO DE ENCISO;En Ejecución;;;06/01/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Sin Nombre;;Com.Vec.Asent.Dr.G. R. de Francia -Cia. Cañadita;FONAVIS;60;OJETYPEKA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Com.Vec.Carmen Soler - Salado;FONAVIS;40;ARQUIDEC S.R.L;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;G.O. Comite de Mujeres en Accion(Co.Mu.A.);FONAVIS;49;ASOCIACION TEKOVERA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;G.O.Com.Vec.Asent.El Peñón;FONAVIS;24;ARQ. REBECA ZELAYA GONZALEZ;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;;Divino Niño Jesús II;FONAVIS;20;ARQ. REBECA ZELAYA GONZALEZ;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;G.O.Com.Fom.Urb.Viv.y Hab.Cia.Calle Ybate 2 etapa;FONAVIS;20;ARQUIDEC S.R.L;En Ejecución;;;;;F;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;Coop. Mult. Ahorr. Cred. Prod. Jhugua Ñaró 3° Fase;FONAVIS;11;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;Itá;G.O.Com.Fom.Urb.Viv. y Hab. B. San Antonio 2° fase;FONAVIS;150;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;G.O.Com.Fom.Viv.y Hab. Curupicaity 2°Fase;FONAVIS;13;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;J. Augusto Saldivar;;G.O.Com.Vec.El Portal - Toledo cañada;FONAVIS;40;ASOCIACION TEKOVERA;En Ejecución;;;05/03/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Lorenzo;;Com.Vec.Los Gansos - Pyto Ayelen Milagros;FONAVIS;20;OJETYPEKA;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;Luque;Com.Vec.Fom. San Rafael;FONAVIS;30;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Mariano Roque Alonso;;Com.Vec.La Aurora - Fomento de Ayuda Mutua;FONAVIS;31;ACG CONSULTORIA INTEGRAL;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Mariano Roque Alonso;;Com.Vec. El Amanecer - Fomento Ayuda Mutua;FONAVIS;190;ACG CONSULTORIA INTEGRAL;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;;Com.Vec.Fom.Oñondivepá;FONAVIS;20;CP OSMAR SALVADOR VERA GAMARRA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;;Com.Vec.Fom.Guayaibi-ty;FONAVIS;30;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;San Antonio;Com.Fom.Urb.Asent.12 de Junio;FONAVIS;11;CEDES / HABITAT;En Ejecución;;;22/02/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;Capiata;;Com.Fom.Asent. Don Antonio;FONAVIS;41;CEDES / HABITAT;En Ejecución;;;10/03/14;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Lorenzo;;Com.Vec.Los Gansos - Pyto Sueños y Esperanza;FONAVIS;42;OJETYPEKA;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;Luque;Com. Vec. Fom. San Jorge;FONAVIS;20;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
;;;CENTRAL;San Antonio;San Antonio;San Antonio y Caazapá;Vya Renda;21;Consorcio Ytororó;Culminado;;008/09;;19/03/10;;;;;;;;;;;;
21J;7418795;498277;CONCEPCION;Horqueta;Horqueta;Horqueta;Vya Renda;40;CONSORCIO RADECO Y ASOCIADOS;En Ejecución;;020/11;20/02/12;;;;;;;;;;;;;
21K;7413081;454642;CONCEPCION;Concepcion;Concepción;Redencion - Concepción;Vya Renda;25;ALONSO SCHAERER JOSE LUIS;Culminado;;020/11;;05/10/12;;;;;;;;;;;;
21 K;7413417;454557;CONCEPCION;Concepcion;Concepción;Redencion Concepción- Lote 1;Pueblos Originarios;20;CONSTRUCTORA DIVINO NIÑO JESUS;Paralizado;;005/12;14/09/12;;;;;;;;;;;;;
21 K;7540762;470274;CONCEPCION;San Carlos;San Carlos del Apa;San Carlos del Apa;Vya Renda;50;ING. RAMON SIENRA ZAVALA;En Ejecución;;Cont. Excluida;12/10/12;;;;;;;;;;;;;
21 K;7554352;400765;CONCEPCION;San Lazaro;3 Cerros;San Lazaro-3 Cerros-Lote 6;Vya Renda;20;M & M CONSTRUCCIONES;Paralizado;;004/12;;;;;;;;;;;;;;
21 K;7554817;400753;CONCEPCION;San Lazaro;Vallemí;San Lazaro-Vallemi-Lote 5;Vya Renda;20;M & M CONSTRUCCIONES;En Ejecución;;004/12;;;;;;;;;;;;;;
21 J;7460311;549700;CONCEPCION;Yby Yau;Yby Yau;Yby Yau;Pueblos Originarios;20;AVANCE CONSULTORA S.R.L.;En Ejecución;;015/12;22/02/13;;;;;;;;;;;;;
21 K;7409370;456590;CONCEPCION;Concepcion;Concepción;Ex Ciasa - Villa 8 de Diciembre;FONAVIS;20;ARQ. MIRTA CLAUDELINA POISSON DE O' DURNIN;Culminado;;;;;4;;;;;;;;;;;
21 J;7417163;493308;CONCEPCION;Horqueta;;Asent. Maria Auxiliadora bases II y IV;CHE TAPYI;110;INICIATIVAS CONSTRUCTIVAS S.A.;En Ejecución;;001/14;;;;;;;;;;;;;;
21 J;7413904;455497;CONCEPCION;Concepcion;;Asent. Niño Salvador del Mundo;CHE TAPYI;81;PUNTAL CONSTRUCCIONES;En Ejecución;;001/14;;;;;;;;;;;;;;
;;;CONCEPCION;Horqueta;Reconquista;Reconquista;CEPRA;29;Deposito Mat. San Cristobal;Culminado;;001/10;;;;;;;;;;;;;;
;;;CONCEPCION;Horqueta;Reconquista;Reconquista;CEPRA;0;Sauce Construcciones;Culminado;;001/10;;;;;;;;;;;;;;
21 K;7409385;456586;CONCEPCION;Concepcion;Concepción;Concepción;Vya Renda;20;Ing. Ramón Sienra Zavala;Culminado;;007/09;;22/03/10;;;;;;;;;;;;
;;;CONCEPCION;Loreto;Loreto;Loreto;Vya Renda;10;Ing. José Luis Alonso Schaerer;Culminado;;007/09;;22/03/10;;;;;;;;;;;;
21J;7207158;489493;CORDILLERA;Tobati;;Tobati;Vya Renda;30;PUNTAL CONSTRUCCIONES;Culminado;;007/11;;08/02/13;;;;;;;;;;;;
21 J;7203021;470340;CORDILLERA;San Bernardino;San Bernardino;San Miguel-San Bernardino;Vya Renda;20;CONSTRUCTORA DIVINO NIÑO JESUS;Paralizado;;004/12;25/01/13;;;;;;;;;;;;;
21 J;7205775;483432;CORDILLERA;Atyra;Atyrá; La Candelaria-Atyra;Vya Renda;20;K Y V CONSTRUCCIONES;En Ejecución;;004/12;30/01/13;;;;;;;;;;;;;
21 J;;;CORDILLERA;Caacupe;Caacupe;Coop. Reina de la Cordillera;FONCOOP;30;COTAS;Culminado;;;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Altos;;La Esperanza;FONAVIS;10;CONTACONSULT;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Caacupe;;Ciudad Nueva;FONAVIS;12;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;3;;;;;;;;;;;
21 J;;;CORDILLERA;Arroyos y Esteros;Arroyos y Esteros;San Francisco;FONAVIS;60;ITAPUA S.R.L.;En Ejecución;;;08/01/14;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;;G.O.Com.Vec.Nucleo Hab. La Candelaria - 1F;FONAVIS;30;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Caacupe;;Divino Niño Jesús - Caacupé;FONAVIS;30;ASOCIACION TEKOVERA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Altos;;La Esperanza 2° Fase;FONAVIS;10;CONTACONSULT;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Nueva Colombia;;Pro-Viviendas Populares;FONAVIS;40;CONTACONSULT;En Ejecución;;;01/03/13;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Altos;;La Esperanza 3° Fase;FONAVIS;40;CONTACONSULT;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;;La Candelaria 2° Fase;FONAVIS;30;LIC. CAMILO ANIBAL ENRIQUE RECALDE DAVALOS;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Juan de Mena;Guido Almada;Guido Almada II;CEPRA;71;Deposito Mat. San Cristobal;Paralizado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Eusebio Ayala;4 de Octubre;4 de Octubre;CEPRA;66;Deposito Mat. San Cristobal;Paralizado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Isidro Labrador 2 Fase;CEPRA;31;San Cristobal;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Roque;CEPRA;32;MH Emprendimientos;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Piribebuy;Ycua Porá;Ycua Porá;CEPRA;54;MH Emprendimientos;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Santa Elena;Santa Helena;Com.Vec.sin Tierra y sin Techo San Jorge;FONAVIS;39;ING. HIDRAULICO BLAS ANTONIO DENIS SALOMON;En Ejecución;;;27/01/14;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Valenzuela;Valenzuela;Com.Habitacional San José;FONAVIS;40;CONTACONSULT;En Ejecución;;;13/01/14;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Caraguatay;Caraguatay;Com.Habitac. San Pedro - Fulgencio Yegros;FONAVIS;74;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Caacupe;;Com.Vec.Caacupé Poty II Asent Isidro Guillen;FONAVIS;40;ITAPUA S.R.L.;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Isidro Labrador 2 Fase;CEPRA;0;BBO Logistic;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Isidro labrador 2 Fase;CEPRA;0;MH Emprendimientos;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Isidro Labrador 2 Fase;CEPRA;0;Central Construcciones;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Roque;CEPRA;0;BBO Logistics;En Ejecución;;008/12;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;Atyrá;San Roque;CEPRA;0;Central Construcciones;En Ejecución;;008/12;;;;;;;;;;;;;;
;;;CORDILLERA;Piribebuy;Ycua Porá;Ycua Porá;CEPRA;0;BBO Logistics;En Ejecución;;008/12;;;;;;;;;;;;;;
;;;CORDILLERA;Piribebuy;Ycua Porá;Ycua Porá;CEPRA;0;Central Construcciones;En Ejecución;;;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Juan de Mena;Guido Almada;Guido Almada II;CEPRA;0;Sauce Construcciones;Paralizado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Juan de Mena;Guido Almada;Guido Almada II;CEPRA;0;Deposito San Blas;Paralizado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Eusebio Ayala;4 de Octubre;4 de Octubre;CEPRA;0;Sauce Construcciones;Paralizado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;15 de Agosto;15 de Agosto;CEPRA;50;Sauce Construcciones;Culminado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;15 de Agosto;15 de Agosto;CEPRA;0;Ferretería Campo Grande;Culminado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;San Isidro Labrador;San Isidro Labrador;CEPRA;41;Sauce Construcciones;Culminado;;001/11;;;;;;;;;;;;;;
21 J;;;CORDILLERA;Atyra;San Isidro Labrador;San Isidro Labrador;CEPRA;0;Ferreteria Campo Grande;Culminado;;001/11;;;;;;;;;;;;;;
21J;7145168;557152;GUAIRA;Villarrica;;Villarrica;Viviendas Económicas;100;EMPRENDIMIENTO EMPRESARIALES S.A;Paralizado;;003/11;;;;;;;;;;;;;;
21 J;7167528;573082;GUAIRA;M. J. Troche;M.J.Troche;Troche;Viviendas Económicas;50;LM CONSTRUCCIONES;Rescindido;;003/11;11/10/11;;;;;;;;;;;;;
21J;7116837;551394;GUAIRA;Iturbe;;Iturbe;Viviendas Económicas;50;AGROMAQ INSUMOS Y MAQUINAS;Paralizado;;003/11;;;;;;;;;;;;;;
21J;7154706;559375;GUAIRA;Mbocayaty del Guaira;;Mbocayaty;Vya Renda;30;OSBEN S.R.L.;Culminado;;007/11;30/09/11;;;;;;;;;;;;;
21 J;7141179;538555;GUAIRA;Itape;Itapé;Itape;Vya Renda;40;VARELA CONSTRUCCIONES;Paralizado;;002/12;23/01/13;;;;;;;;;;;;;
21 J;7155981;600281;GUAIRA;Paso Yobai;Arroyo Hu;Arroyo Hu;Pueblos Originarios;20;GER.COM;En Ejecución;;015/12;07/05/13;;;;;;;;;;;;;
21 J;7146775;554573;GUAIRA;Villarrica;;G.O. Sinaí 2;FONAVIS;28;CESARINA BARRETO DE ENCISO;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7146775;554573;GUAIRA;Villarrica;;G.O. Sinaí 3;FONAVIS;12;CESARINA BARRETO DE ENCISO;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7146775;554573;GUAIRA;Villarrica;Villarrica;G.O. Sinaí 1;FONAVIS;28;CESARINA BARRETO DE ENCISO;Culminado;;;06/01/14;;4;;;;;;;;;;;
21 J;;;GUAIRA;M. J. Troche;Mauricio Jose Troche;Nueva Esperanza;CEPRA;42;Ceport S.R.L.;Paralizado;;008/11;;;;;;;;;;;;;;
21 J;;;GUAIRA;Paso Yobai;8 de Diciembre;8 de Diciembre;CEPRA;58;Consorcio Canindeyú;Paralizado;;008/11;;;;;;;;;;;;;;
21 J;;;GUAIRA;Jose Fasardi;;G.O.Com.Vec.Ciudad Nueva de J Fassardi;FONAVIS;48;CESARINA BARRETO DE ENCISO;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;GUAIRA;M. J. Troche;Mauricio José Troche;Nueva Esperanza;CEPRA;0;Consorcio Canindeyú;En Ejecución;;008/11;;;;;;;;;;;;;;
21J;;;GUAIRA;M. J. Troche;Mauricio José Troche;Nueva Esperanza;CEPRA;0;SG S.R.L.;En Ejecución;;;;;;;;;;;;;;;;
21 J;;;GUAIRA;M. J. Troche;M.J.Troche;Nueva Esperanza;CEPRA;0;Consorcio Tenonde Meta;En Ejecución;;008/11;;;;;;;;;;;;;;
;;;GUAIRA;M. J. Troche;M.J.Troche;Nueva Esperanza;CEPRA;0;Construcciones Integral;En Ejecución;;008/11;;;;;;;;;;;;;;
21 J;;;GUAIRA;M. J. Troche;M.J.Troche;Nueva Esperanza;CEPRA;0;RNV Hierros S.A.;En Ejecución;;008/11;;;;;;;;;;;;;;
21 J;;;GUAIRA;Paso Yobai;8 de Diciembre;8 de Diciembre;CEPRA;0;Ceport S.R.L.;Paralizado;;008/11;;;;;;;;;;;;;;
21 J;;;GUAIRA;Paso Yobai;8 de Diciembre;8 de Diciembre;CEPRA;0;Consorcio Tenonde Meta;Paralizado;;008/11;;;;;;;;;;;;;;
